Position Generated, Velocity Generated, Time
0, 0.0, 3919
0, 0.0, 3929
0, 0.0, 3938
0, 0.0, 3947
0, 0.0, 3956
0, 0.0, 3965
0, 0.0, 3974
0, 0.0, 3983
0, 0.0, 3992
0, 0.0, 4001
0, 0.0, 4010
0, 0.0, 4019
0, 0.0, 4028
0, 0.0, 4037
0, 0.0, 4046
0, 0.0, 4055
0, 0.0, 4065
0, 0.0, 4074
0, 0.0, 4083
0, 0.0, 4092
0, 0.0, 4101
0, 0.0, 4110
0, 0.0, 4119
0, 0.0, 4128
0, 0.0, 4137
0, 0.0, 4146
0, 0.0, 4155
0, 0.0, 4164
0, 0.0, 4173
0, 0.0, 4182
0, 0.0, 4191
0, 0.0, 4201
0, 0.0, 4210
0, 0.0, 4219
0, 0.0, 4228
0, 0.0, 4237
0, 0.0, 4246
0, 0.0, 4255
0, 0.0, 4264
0, 0.0, 4273
0, 0.0, 4282
0, 0.0, 4291
0, 0.0, 4300
0, 0.0, 4309
0, 0.0, 4318
0, 0.0, 4327
0, 0.0, 4337
0, 0.0, 4346
0, 0.0, 4355
0, 0.0, 4364
0, 0.0, 4373
0, 0.0, 4382
0, 0.0, 4391
0, 0.0, 4400
0, 0.0, 4409
0, 0.0, 4418
0, 0.0, 4427
0, 0.0, 4436
0, 0.0, 4445
0, 0.0, 4454
0, 0.0, 4463
0, 0.0, 4473
0, 0.0, 4482
0, 0.0, 4491
0, 0.0, 4500
0, 0.0, 4509
0, 0.0, 4518
0, 0.0, 4527
0, 0.0, 4536
0, 0.0, 4545
0, 0.0, 4554
0, 0.0, 4563
0, 0.0, 4572
0, 0.0, 4581
0, 0.0, 4590
0, 0.0, 4599
0, 0.0, 4609
0, 0.0, 4618
0, 0.0, 4627
0, 0.0, 4636
0, 0.0, 4645
0, 0.0, 4654
0, 0.0, 4663
0, 0.0, 4672
0, 0.0, 4681
0, 0.0, 4690
0, 0.0, 4699
0, 0.0, 4708
0, 0.0, 4717
0, 0.0, 4726
0, 0.0, 4735
0, 0.0, 4745
0, 0.0, 4754
0, 0.0, 4763
0, 0.0, 4772
0, 0.0, 4781
0, 0.0, 4790
0, 0.0, 4799
0, 0.0, 4808
0, 0.0, 4817
0, 0.0, 4826
0, 0.0, 4835
0, 0.0, 4844
0, 0.0, 4853
0, 0.0, 4862
0, 0.0, 4872
0, 0.0, 4882
0, 0.0, 4891
0, 0.0, 4900
0, 0.0, 4909
0, 0.0, 4918
0, 0.0, 4927
0, 0.0, 4936
0, 0.0, 4945
0, 0.0, 4954
0, 0.0, 4963
0, 0.0, 4972
0, 0.0, 4981
0, 0.0, 4990
0, 0.0, 4999
0, 0.0, 5009
0, 0.0, 5018
0, 0.0, 5027
0, 0.0, 5036
0, 0.0, 5045
0, 0.0, 5054
0, 0.0, 5063
0, 0.0, 5072
0, 0.0, 5081
0, 0.0, 5090
0, 0.0, 5099
0, 0.0, 5108
0, 0.0, 5117
0, 0.0, 5126
0, 0.0, 5135
0, 0.0, 5145
0, 0.0, 5154
0, 0.0, 5163
0, 0.0, 5172
0, 0.0, 5181
0, 0.0, 5190
0, 0.0, 5199
0, 0.0, 5208
0, 0.0, 5217
0, 0.0, 5226
0, 0.0, 5235
0, 0.0, 5244
0, 0.0, 5253
0, 0.0, 5262
0, 0.0, 5271
0, 0.0, 5281
0, 0.0, 5290
0, 0.0, 5299
0, 0.0, 5308
0, 0.0, 5317
0, 0.0, 5326
0, 0.0, 5335
0, 0.0, 5344
0, 0.0, 5353
0, 0.0, 5362
0, 0.0, 5371
0, 0.0, 5389
105, 5026.18994140625, 5420
258, 5026.18994140625, 5452
412, 5026.18994140625, 5483
566, 5026.18994140625, 5515
720, 5026.18994140625, 5546
873, 5026.18994140625, 5578
1027, 5026.18994140625, 5609
1181, 5026.18994140625, 5640
1335, 5026.18994140625, 5672
1488, 5026.18994140625, 5703
1642, 5026.18994140625, 5735
1796, 5026.18994140625, 5766
1949, 5026.18994140625, 5798
2103, 5026.18994140625, 5829
2256, 5026.18994140625, 5861
2410, 5026.18994140625, 5892
2564, 5026.18994140625, 5924
2717, 5026.18994140625, 5955
2871, 5026.18994140625, 5987
3025, 5026.18994140625, 6018
3178, 5026.18994140625, 6050
3332, 5026.18994140625, 6081
3486, 5026.18994140625, 6113
3640, 5026.18994140625, 6144
3793, 5026.18994140625, 6176
3947, 5026.18994140625, 6207
4101, 5026.18994140625, 6238
4255, 5026.18994140625, 6270
4408, 5026.18994140625, 6301
4562, 5026.18994140625, 6333
4716, 5026.18994140625, 6364
4869, 5026.18994140625, 6396
5023, 5026.18994140625, 6427
5177, 5026.18994140625, 6459
5330, 5026.18994140625, 6490
5484, 5026.18994140625, 6522
5638, 5026.18994140625, 6553
5791, 5026.18994140625, 6585
5945, 5026.18994140625, 6616
6099, 5026.18994140625, 6648
6253, 5026.18994140625, 6679
6406, 5026.18994140625, 6711
6560, 5026.18994140625, 6742
6713, 5026.18994140625, 6774
6867, 5026.18994140625, 6805
7021, 5026.18994140625, 6837
7175, 5026.18994140625, 6868
7328, 5026.18994140625, 6900
7482, 5026.18994140625, 6931
7636, 5026.18994140625, 6962
7789, 5026.18994140625, 6994
7943, 5026.18994140625, 7025
8097, 5026.18994140625, 7057
8251, 5026.18994140625, 7088
8404, 5026.18994140625, 7120
8557, 5026.18994140625, 7151
8711, 5026.18994140625, 7183
8865, 5026.18994140625, 7214
9018, 5026.18994140625, 7246
9172, 5026.18994140625, 7277
9326, 5026.18994140625, 7309
9480, 5026.18994140625, 7340
9633, 5026.18994140625, 7372
9787, 5026.18994140625, 7403
9941, 5026.18994140625, 7435
10095, 5026.18994140625, 7466
10248, 5026.18994140625, 7498
10402, 5026.18994140625, 7529
10556, 5026.18994140625, 7560
10710, 5026.18994140625, 7592
10863, 5026.18994140625, 7623
11017, 5026.18994140625, 7655
11170, 5026.18994140625, 7686
11324, 5026.18994140625, 7718
11478, 5026.18994140625, 7749
11632, 5026.18994140625, 7781
11785, 5026.18994140625, 7812
11939, 5026.18994140625, 7844
12092, 5026.18994140625, 7875
12246, 5026.18994140625, 7907
12400, 5026.18994140625, 7938
12553, 5026.18994140625, 7970
12707, 5026.18994140625, 8001
12861, 5026.18994140625, 8033
13015, 5026.18994140625, 8064
13168, 5026.18994140625, 8096
13322, 5026.18994140625, 8112
13327, 0.0, 8122
13327, 0.0, 8131
13327, 0.0, 8140
13327, 0.0, 8149
13327, 0.0, 8158
13327, 0.0, 8167
13327, 0.0, 8176
13327, 0.0, 8185
13327, 0.0, 8194
13327, 0.0, 8203
13327, 0.0, 8212
13327, 0.0, 8221
13327, 0.0, 8230
13327, 0.0, 8239
13327, 0.0, 8248
13327, 0.0, 8258
13327, 0.0, 8267
13327, 0.0, 8276
13327, 0.0, 8285
13327, 0.0, 8294
13327, 0.0, 8303
13327, 0.0, 8312
13327, 0.0, 8321
13327, 0.0, 8330
13327, 0.0, 8339
13327, 0.0, 8348
13327, 0.0, 8357
13327, 0.0, 8366
13327, 0.0, 8375
13327, 0.0, 8384
13327, 0.0, 8394
13327, 0.0, 8403
13327, 0.0, 8412
13327, 0.0, 8421
13327, 0.0, 8430
13327, 0.0, 8439
