Raw Angle, Time, Match Flag, Started
3703, 5978, 0, 1
3703, 5979, 0, 1
3702, 5980, 0, 1
3703, 5981, 0, 1
3703, 5982, 0, 1
3703, 5983, 0, 1
3703, 5984, 0, 1
3703, 5985, 0, 1
3702, 5986, 0, 1
3702, 5987, 0, 1
3703, 5988, 0, 1
3703, 5989, 0, 1
3702, 5990, 0, 1
3703, 5991, 0, 1
3703, 5992, 0, 1
3703, 5993, 0, 1
3703, 5994, 0, 1
3703, 5995, 0, 1
3702, 5996, 0, 1
3703, 5997, 0, 1
3703, 5998, 0, 1
3703, 5999, 0, 1
3703, 6000, 0, 1
3703, 6001, 0, 1
3703, 6002, 0, 1
3703, 6003, 0, 1
3703, 6004, 0, 1
3703, 6005, 0, 1
3703, 6006, 0, 1
3703, 6007, 0, 1
3703, 6008, 0, 1
3703, 6009, 0, 1
3703, 6010, 0, 1
3703, 6011, 0, 1
3703, 6012, 0, 1
3703, 6013, 0, 1
3703, 6014, 0, 1
3703, 6015, 0, 1
3703, 6016, 0, 1
3703, 6017, 0, 1
3703, 6018, 0, 1
3703, 6019, 0, 1
3703, 6020, 0, 1
3703, 6021, 0, 1
3703, 6022, 0, 1
3703, 6023, 0, 1
3703, 6024, 0, 1
3703, 6025, 0, 1
3703, 6026, 0, 1
3703, 6027, 0, 1
3703, 6028, 0, 1
3703, 6029, 0, 1
3703, 6030, 0, 1
3703, 6031, 0, 1
3703, 6032, 0, 1
3703, 6033, 0, 1
3703, 6034, 0, 1
3703, 6035, 0, 1
3702, 6036, 0, 1
3702, 6037, 0, 1
3702, 6038, 0, 1
3702, 6039, 0, 1
3703, 6040, 0, 1
3703, 6041, 0, 1
3703, 6042, 0, 1
3703, 6043, 0, 1
3703, 6044, 0, 1
3703, 6045, 0, 1
3703, 6046, 0, 1
3703, 6047, 0, 1
3703, 6048, 0, 1
3703, 6049, 0, 1
3703, 6050, 0, 1
3702, 6051, 0, 1
3703, 6052, 0, 1
3703, 6053, 0, 1
3702, 6054, 0, 1
3703, 6055, 0, 1
3703, 6056, 0, 1
3703, 6057, 0, 1
3703, 6058, 0, 1
3702, 6059, 0, 1
3703, 6060, 0, 1
3703, 6061, 0, 1
3702, 6062, 0, 1
3703, 6063, 0, 1
3702, 6064, 0, 1
3702, 6065, 0, 1
3703, 6066, 0, 1
3703, 6067, 0, 1
3703, 6068, 0, 1
3703, 6069, 0, 1
3702, 6070, 0, 1
3703, 6071, 0, 1
3703, 6072, 0, 1
3703, 6073, 0, 1
3702, 6074, 0, 1
3702, 6075, 0, 1
3702, 6076, 0, 1
3703, 6077, 0, 1
3703, 6078, 0, 1
3703, 6079, 0, 1
3703, 6080, 0, 1
3703, 6081, 0, 1
3703, 6082, 0, 1
3702, 6083, 0, 1
3702, 6084, 0, 1
3703, 6085, 0, 1
3703, 6086, 0, 1
3703, 6087, 0, 1
3703, 6088, 0, 1
3703, 6089, 0, 1
3703, 6090, 0, 1
3702, 6091, 0, 1
3702, 6092, 0, 1
3703, 6093, 0, 1
3703, 6094, 0, 1
3703, 6095, 0, 1
3703, 6096, 0, 1
3703, 6097, 0, 1
3702, 6098, 0, 1
3702, 6099, 0, 1
3703, 6100, 0, 1
3703, 6101, 0, 1
3703, 6102, 0, 1
3703, 6103, 0, 1
3702, 6104, 0, 1
3702, 6105, 0, 1
3703, 6106, 0, 1
3703, 6107, 0, 1
3703, 6108, 0, 1
3703, 6109, 0, 1
3702, 6110, 0, 1
3703, 6111, 0, 1
3702, 6112, 0, 1
3702, 6113, 0, 1
3702, 6114, 0, 1
3703, 6115, 0, 1
3703, 6116, 0, 1
3702, 6117, 0, 1
3702, 6118, 0, 1
3702, 6119, 0, 1
3703, 6120, 0, 1
3703, 6121, 0, 1
3703, 6122, 0, 1
3702, 6123, 0, 1
3703, 6124, 0, 1
3703, 6125, 0, 1
3703, 6126, 0, 1
3703, 6127, 0, 1
3703, 6128, 0, 1
3703, 6129, 0, 1
3702, 6130, 0, 1
3702, 6131, 0, 1
3702, 6132, 0, 1
3703, 6133, 0, 1
3703, 6134, 0, 1
3703, 6135, 0, 1
3703, 6136, 0, 1
3703, 6137, 0, 1
3703, 6138, 0, 1
3703, 6139, 0, 1
3703, 6140, 0, 1
3703, 6141, 0, 1
3703, 6142, 0, 1
3703, 6143, 0, 1
3703, 6144, 0, 1
3703, 6145, 0, 1
3703, 6146, 0, 1
3702, 6147, 0, 1
3702, 6148, 0, 1
3702, 6149, 0, 1
3703, 6150, 0, 1
3703, 6151, 0, 1
3703, 6152, 0, 1
3703, 6153, 0, 1
3703, 6154, 0, 1
3703, 6155, 0, 1
3703, 6156, 0, 1
3703, 6157, 0, 1
3703, 6158, 0, 1
3703, 6159, 0, 1
3703, 6160, 0, 1
3703, 6161, 0, 1
3703, 6162, 0, 1
3703, 6163, 0, 1
3703, 6164, 0, 1
3703, 6165, 0, 1
3703, 6166, 0, 1
3703, 6167, 0, 1
3703, 6168, 0, 1
3703, 6169, 0, 1
3703, 6170, 0, 1
3703, 6171, 0, 1
3703, 6172, 0, 1
3703, 6173, 0, 1
3703, 6174, 0, 1
3703, 6175, 0, 1
3703, 6176, 0, 1
3703, 6177, 0, 1
3703, 6178, 0, 1
3703, 6179, 0, 1
3702, 6180, 0, 1
3702, 6181, 0, 1
3703, 6182, 0, 1
3703, 6183, 0, 1
3703, 6184, 0, 1
3703, 6185, 0, 1
3703, 6186, 0, 1
