CPU,GPU,RAM,Moves,Loop
92.1,0.0,1.459798016,7,16
92.2,0.0,1.458573312,8,16
91.6,0.0,1.457508352,9,16
93.0,0.0,1.464922112,10,16
94.5,0.0,1.463750656,11,16
94.5,0.0,1.465286656,12,16
93.1,0.0,1.483874304,13,16
91.8,0.0,1.461530624,14,16
96.0,0.0,1.467641856,15,16
94.7,0.0,1.45913856,16,16
90.9,0.0,1.460473856,17,16
92.2,0.0,1.46655232,18,16
93.6,0.0,1.504673792,19,16
90.7,0.0,1.46794496,20,16
92.2,0.0,1.467592704,21,16
92.8,0.0,1.46980864,22,16
93.3,0.0,1.468981248,23,16
92.6,0.0,1.464475648,24,16
93.0,0.0,1.467256832,25,16
93.1,0.0,1.550823424,26,16
93.6,0.0,1.46229248,27,16
95.0,0.0,1.460719616,28,16
95.2,0.0,1.461358592,29,16
93.3,0.0,1.463820288,30,16
94.4,0.0,1.468788736,31,16
94.0,0.0,1.4688256,32,16
94.0,0.0,1.461751808,33,16
96.2,0.0,1.461776384,34,16
93.7,0.0,1.462697984,35,16
95.6,0.0,1.462255616,36,16
95.7,0.0,1.463328768,37,16
93.7,0.0,1.510465536,38,16
93.9,0.0,1.464713216,1,17
93.2,0.0,1.465286656,2,17
93.4,0.0,1.474019328,3,17
92.9,0.0,1.467916288,4,17
91.8,0.0,1.473282048,5,17
91.7,0.0,1.47472384,6,17
92.8,0.0,1.46896896,7,17
93.1,0.0,1.468510208,8,17
93.3,0.0,1.47269632,9,17
92.9,0.0,1.565540352,10,17
93.4,0.0,1.4700544,11,17
93.7,0.0,1.47044352,12,17
92.6,0.0,1.541689344,13,17
93.1,0.0,1.470128128,14,17
94.9,0.0,1.49420032,15,17
93.6,0.0,1.468567552,16,17
94.3,0.0,1.541492736,17,17
92.2,0.0,1.4723072,18,17
93.9,0.0,1.471168512,19,17
90.0,0.0,1.470963712,20,17
93.2,0.0,1.473015808,21,17
93.2,0.0,1.527443456,22,17
94.8,0.0,1.479491584,23,17
94.5,0.0,1.479692288,24,17
95.3,0.0,1.473523712,25,17
94.6,0.0,1.480933376,26,17
93.2,0.0,1.476579328,27,17
95.6,0.0,1.481068544,28,17
96.4,0.0,1.480630272,29,17
95.2,0.0,1.56028928,30,17
96.7,0.0,1.482354688,31,17
94.4,0.0,1.476059136,32,17
93.9,0.0,1.47615744,33,17
