=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.02 16:40:11 =~=~=~=~=~=~=~=~=~=~=~=
182343888.00,---------
Raw Input, Angle, Time, Started
437,38.07,5211128.00,1
452,39.56,5212856.00,1
470,41.05,5214575.00,1
487,42.64,5216304.00,1
505,44.13,5218031.00,1
522,45.71,5219772.00,1
539,47.21,5221497.00,1
555,48.62,5223234.00,1
573,50.20,5224971.00,1
591,51.69,5226695.00,1
608,53.27,5228422.00,1
625,54.68,5230150.00,1
642,56.18,5231882.00,1
659,57.76,5233603.00,1
676,59.16,5235326.00,1
693,60.75,5237062.00,1
710,62.24,5238777.00,1
728,63.82,5240507.00,1
745,65.23,5242233.00,1
762,66.81,5243961.00,1
779,68.31,5245689.00,1
795,69.71,5247421.00,1
814,71.30,5249145.00,1
829,72.70,5250874.00,1
847,74.20,5252596.00,1
863,75.78,5254329.00,1
881,77.19,5256051.00,1
899,78.77,5257787.00,1
915,80.18,5259518.00,1
933,81.67,5261246.00,1
949,83.25,5262969.00,1
966,84.66,5264705.00,1
983,86.24,5266428.00,1
1000,87.74,5268210.00,1
1018,89.32,5269999.00,1
1035,90.81,5271792.00,1
1052,92.31,5273578.00,1
1070,93.89,5275369.00,1
1088,95.38,5277160.00,1
1106,96.97,5278953.00,1
1122,98.46,5280739.00,1
1140,100.04,5282532.00,1
1158,101.54,5284345.00,1
1175,103.12,5286174.00,1
1193,104.70,5287990.00,1
1210,106.20,5289824.00,1
1228,107.78,5291642.00,1
1245,109.27,5293465.00,1
1263,110.86,5295295.00,1
1280,112.35,5297126.00,1
1297,113.85,5298950.00,1
1315,115.52,5300781.00,1
1333,116.92,5302616.00,1
1351,118.59,5304438.00,1
1367,119.91,5306268.00,1
1385,121.58,5308087.00,1
1401,122.99,5309924.00,1
1419,124.57,5311750.00,1
1436,126.07,5313575.00,1
1452,127.47,5315408.00,1
1471,129.05,5317238.00,1
1486,130.46,5319053.00,1
1505,131.96,5320889.00,1
1521,133.54,5322723.00,1
